test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance,miss_distance_at_closest_approach_if_no_avoidance,miss_distance_at_closest_approach_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-50.0,1000.0,0.0,-30.0,1000.0,2145.92578125,31494.900390625,1000.0,-4329.29541015625,14139.3642578125,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,-0.11019878834486008,99.999755859375,0.0,-0.2871653437614441,49.999114990234375,0.0,True,False,0,5310.75634765625,nan,0.0
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,3218.1455078125,8682.8310546875,1000.0,-3218.1455078125,-8682.8310546875,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,-0.43178486824035645,49.99755096435547,0.0,0.43178486824035645,-49.99755096435547,0.0,True,False,0,3514.45947265625,nan,0.0
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-5.0,1000.0,0.0,10.0,1000.0,-4269.42138671875,2310.595947265625,1000.0,-2129.947998046875,-16092.8369140625,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,-0.1475134789943695,49.999263763427734,0.0,0.44029346108436584,-99.99856567382812,0.0,True,False,0,2137.61181640625,nan,0.0
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,60.0,2000060.0,1000.0,-60.0,1999940.0,1000.0,0.07406754046678543,-50.00031661987305,1000.0,-0.0821886658668518,-30.013063430786133,1000.0,-3026.7255859375,28753.357421875,1000.0,6104.2880859375,12636.435546875,1000.0,-0.082552969455719,99.99986267089844,0.0,0.08255449682474136,49.99916458129883,0.0,0.5481873750686646,99.9980239868164,0.0,-0.3695339858531952,49.99769973754883,0.0,True,False,0,5644.5517578125,nan,0.980498194694519
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.07411590218544006,-5.015205383300781,1000.0,-0.08237135410308838,10.015110969543457,1000.0,-4523.4892578125,8081.15234375,1000.0,4523.4892578125,-8081.15234375,1000.0,-0.08255449682474136,49.99905776977539,0.0,0.08255449682474136,-49.99905776977539,0.0,0.5090433359146118,49.99691390991211,0.0,-0.5090433359146118,-49.99691390991211,0.0,True,False,0,6485.576171875,nan,1.4009349346160889
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.07411590218544006,-5.015205383300781,1000.0,-0.07418256253004074,10.000368118286133,1000.0,-6080.263671875,3077.58642578125,1000.0,3018.290771484375,-13059.5947265625,1000.0,-0.07429953664541245,49.99906921386719,0.0,0.07429800927639008,-99.99987030029297,0.0,1.1798616647720337,49.98554611206055,0.0,-0.5749369263648987,-99.99744415283203,0.0,True,False,0,5690.82958984375,nan,4.819301128387451
6,0.6058568438427625,0.0,-1418554.125,1814.483154296875,14999.7900390625,-1418474.75,1814.483154296875,0.0,60.40835189819336,0.0,-0.6387578845024109,60.40497589111328,0.0,0.0,141855408.0,4034.014892578125,-1499979.0,141847472.0,4034.014892578125,0.0,-689088.0625,1814.483154296875,7314.9697265625,-689007.8125,1814.483154296875,-0.06967194378376007,-689088.0625,1814.483154296875,7306.6875,-689007.8125,1814.483154296875,0.0,60.40835189819336,0.0,-0.6387578845024109,60.40497589111328,0.0,-0.08255064487457275,60.40822982788086,0.0,-0.7213201522827148,60.40401077270508,0.0,False,False,7315.98486328125,7307.77392578125,nan,31.310407638549805
7,11.284334015460084,0.0,-76285.1640625,4649.9306640625,14927.330078125,-74810.4375,4649.9306640625,0.0,104.54156494140625,0.0,-20.456485748291016,102.52058410644531,0.0,0.0,7628516.5,1519.435302734375,-1492733.0,7481043.5,1519.435302734375,0.0,-87.74746704101562,4621.51513671875,18.287019729614258,-89.70414733886719,4621.51904296875,-450.4750061035156,94200.46875,4587.2509765625,-18873.740234375,92301.6875,4579.21728515625,0.0,104.54156494140625,-0.04071050509810448,-20.456485748291016,102.52058410644531,-0.04071052744984627,0.004550770856440067,104.54112243652344,-0.04078815504908562,-20.44945526123047,102.52243041992188,-0.044234175235033035,True,False,0,79.699462890625,nan,4.574523448944092
8,20.67616174562036,0.0,-41792.94921875,4763.87451171875,14756.4892578125,-39101.109375,4763.87451171875,0.0,105.51737213134766,0.0,-37.25666427612305,98.72110748291016,0.0,0.0,4179295.0,3715.04248046875,-1475649.0,3910111.0,3715.04248046875,0.0,-52.54796600341797,4754.25244140625,18.01803970336914,-46.199188232421875,4754.25244140625,-786.4659423828125,51520.4609375,4743.3583984375,-18954.09765625,47912.57421875,4738.69384765625,0.0,105.51737213134766,-0.02439858950674534,-37.25666427612305,98.72110748291016,-0.02439861372113228,-0.5493676066398621,105.515625,-0.024536069482564926,-37.23629379272461,98.72874450683594,-0.0279785618185997,True,False,0,277.6742248535156,nan,1.57666015625
9,167.90246616404147,0.0,-7541.98974609375,1180.67724609375,1580.62353515625,7374.4990234375,1180.67724609375,0.0,98.5357894897461,0.0,-20.65078353881836,-96.3475341796875,0.0,0.0,754198.9375,3035.033935546875,-158062.359375,-737449.875,3035.033935546875,0.0,-4.031228542327881,1198.4525146484375,2.913163661956787,13.538460731506348,1198.4287109375,4610.591796875,7939.2587890625,1226.9185791015625,-6250.65185546875,-7070.79248046875,1209.2991943359375,0.0,98.5357894897461,0.23827141523361206,-20.65078353881836,-96.3475341796875,0.23827151954174042,-0.9828812479972839,98.5299072265625,0.24045224487781525,-20.243854522705078,-96.43376159667969,0.2394864559173584,True,False,0,6336.2431640625,nan,0.002868656301870942
10,179.3724303851666,0.0,-7500.1123046875,1103.588623046875,82.14826202392578,7499.66259765625,1103.588623046875,0.0,63.7647705078125,0.0,-0.6984115242958069,-63.76094436645508,0.0,0.0,750011.25,1976.149658203125,-8214.826171875,-749966.25,1976.149658203125,0.0,-7.76555061340332,1111.9256591796875,0.08601783961057663,7.851185321807861,1111.9256591796875,4565.55810546875,8054.94189453125,1081.4876708984375,-4648.2509765625,-8016.30322265625,1160.920166015625,0.0,63.7647705078125,0.07236521691083908,-0.6984115242958069,-63.76094436645508,0.0723651647567749,-0.4244886338710785,63.763187408447266,0.07582365721464157,0.39880281686782837,-63.76327133178711,0.07116048783063889,True,False,0,6479.65625,nan,0.00043870651279576123
